q	label	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14
27	q27	0.0037012779728847994	0.09907476147874703	0.0034676573674050255	0.003987127178978188	0.006777993917932197	0.0011497519867982432	0.0013201393456575268	0.2441668892793353	0.0040946009592563145	0.008212415212973423	0.003960012371935081	0.1265133751302504	0.001583831338655964	0.0042394437338011655	0.4877507227253893
28	q28	0.0021489686915033565	0.034223086442781325	0.0020133281450369707	0.002314933258035767	0.16703461153103127	6.67548084938204E-4	7.664752939451952E-4	0.0019643413678124342	0.0023773327294256976	0.21446723798654124	0.002299190351980436	0.02685409577370281	9.195753424433362E-4	0.21216052355343895	0.32978875144738307
29	q29	0.006182253400692822	0.6346964745016052	0.005792036347750552	0.006659708009452952	0.011321299360920982	0.0019204334779526712	0.0022050318886799435	0.0056511089013513635	0.006839221720251576	0.28183816796350175	0.006614418082762921	0.010224877884600993	0.0026454772517120694	0.007081152951046912	0.010328338257717444
30	q30	0.0024323344293975977	0.19696930838578264	0.002278808148397343	0.002620183294219554	0.004454231238402349	7.555718222854757E-4	8.675436985735305E-4	0.002223361912582192	0.0026908108390684086	0.6383309659367613	0.002602364508599943	0.08313961835964478	0.001040831713692986	0.05553050326788609	0.004063562444705876
31	q31	0.004024270780671448	0.2386183598938186	0.48372893042997717	0.004335064678397314	0.1818999014343299	0.0012500853379258272	0.001435341585815463	0.0036785280311467106	0.04808452329060137	0.00892907336936708	0.0043055836919633035	0.006655773330533848	0.001722044716543456	0.004609399690923377	0.006723119737985091
32	q32	0.001710555268556573	0.3054381244606721	0.001602586896422843	0.0018426612246824948	0.0031324675670135597	5.313608793933013E-4	6.101058416812927E-4	0.020110055753375114	0.001892330512542859	0.0037953891096638988	0.18729474793454184	0.2253866423786646	7.319717839866475E-4	0.00195926997856652	0.2439617304102364
33	q33	0.002254004864821952	0.08477330422268835	0.14874417326460282	0.0024280813610646312	0.44402497998671886	7.001761528227174E-4	8.039386744670064E-4	0.002060353422888999	0.002493530761342691	0.22494985602996914	0.002411568981440186	0.0770441358627199	9.64521867458E-4	0.0025817371378564617	0.0037656374091383712
34	q34	0.005147199400783289	0.2493943896269154	0.06063012007018261	0.00554471692664788	0.1768492674651006	0.0015989079395960055	0.001835857911429112	0.004704980929370695	0.005694175838272485	0.17884405210013637	0.2287382345914563	0.06432080012216608	0.00220256240601076	0.00589560211530619	0.008599132556626145
35	q35	0.004207871165809503	0.6144910549289103	0.00394227495370682	0.004532844496886398	0.00770569662106996	0.001307118316571544	0.0015008265599444689	0.049469622702606054	0.004655028192470979	0.19182951968052472	0.004502018491501492	0.09820596786329708	0.0018006100244995914	0.004819695569265727	0.007029850432935336
36	q36	0.0031893205712217117	0.29284946586242805	0.07214755923863399	0.0034356313752034193	0.005840467966049095	9.907193380670743E-4	0.0011375388724730524	0.0029153120555159124	0.0035282394799767106	0.04165625395429359	0.003412267063600558	0.005274842563382045	0.0013647572289157296	0.003653047733729312	0.5586045766965098
